,S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death
0,1,Andhra Pradesh,2,0,0,0
1,2,Chattisgarh,1,0,0,0
2,3,Delhi,11,1,3,1
3,4,Haryana,3,14,0,0
4,5,Karnataka,14,0,0,1
5,6,Kerala,25,2,3,0
6,7,Maharashtra,44,3,0,1
7,8,Odisha,1,0,0,0
8,9,Pondicherry,1,0,0,0
9,10,Punjab,2,0,0,1
10,11,Rajasthan,5,2,3,0
11,12,Tamil Nadu,2,0,1,0
12,13,Telengana,4,2,1,0
13,14,Union Territory of Chandigarh,1,0,0,0
14,15,Union Territory of Jammu and Kashmir,4,0,0,0
15,16,Union Territory of Ladakh,8,0,0,0
16,17,Uttar Pradesh,18,1,9,0
17,18,Uttarakhand,1,0,0,0
18,19,West Bengal,1,0,0,0
