S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death
1,Andhra Pradesh,8,0,0,0
2,Bihar,3,0,0,1
3,Chhattisgarh,1,0,0,0
4,Delhi,29,1,6,2
5,Gujarat,32,1,0,1
6,Haryana,14,14,11,0
7,Himachal Pradesh,3,0,0,1
8,Karnataka,37,0,3,1
9,Kerala,87,8,4,0
10,Madhya Pradesh,7,0,0,0
11,Maharashtra,86,3,0,2
12,Manipur,1,0,0,0
13,Odisha,2,0,0,0
14,Puducherry,1,0,0,0
15,Punjab,29,0,0,1
16,Rajasthan,30,2,3,0
17,Tamil Nadu,13,2,1,0
18,Telengana,25,10,1,0
19,Chandigarh,7,0,0,0
20,Jammu and Kashmir,4,0,0,0
21,Ladakh,13,0,0,0
22,Uttar Pradesh,32,1,11,0
23,Uttarakhand,3,1,0,0
24,West Bengal,9,0,0,1
